Clip Index,Prefix ID,Part ID,Part Name,Part suggested stock concentration (ng/µL),Part stock per 30 µL clip (µL),Suffix ID,Total assemblies,Assembly indexes
42,LMP-P,4d3a1c37cb834f70e8b8196d27a410aa,B-P40_Terminator2_AraC_RiboB,132,1,UTR1-S,1,[40]
43,LMP-P,dfe7d22dffcaa5dd14967c913e81bdba,B-P41_Terminator3_Phlf_RiboC,122,1,UTR1-S,1,[41]
44,LMP-P,63ab766b44eab288aea425ef34671dc7,B-P42_Terminator3_CymR_RiboC,123,1,UTR1-S,1,[42]
45,LMP-P,19cc3a468322f28f945688208c29a88d,B-P43_Terminator3_TetR_RiboC,122,1,UTR1-S,1,[43]
46,LMP-P,fd90ec63fd091f9ad3024e4dfd59945a,B-P44_Terminator3_VanR_RiboC,121,1,UTR1-S,1,[44]
47,LMP-P,0e6680c658b4b48f94acb8d75ca20548,B-P45_Terminator3_LuxR_RiboC,121,1,UTR1-S,1,[45]
48,LMP-P,9d6ba241db99f774ae41453942acfd98,B-P46_Terminator3_CinR_RiboC,129,1,UTR1-S,1,[46]
49,LMP-P,3bcbe58d4d3bb671aa0ae4e22c9e0046,B-P47_Terminator3_LacI_RiboC,121,1,UTR1-S,1,[47]
50,LMP-P,c218f26fe11fb70b1b8f30029cfe46b0,B-P48_Terminator3_AraC_RiboC,132,1,UTR1-S,1,[48]
51,LMP-P,f7a49ade8938b0d405c2e93b26bdda7c,B-P49_Terminator1_T7_100_RiboA,120,1,UTR1-S,1,[49]
52,LMP-P,9ec62f9104ad96390a89c4667d495a7a,B-P50_Terminator1_T7_52_RiboA,120,1,UTR1-S,1,[50]
53,LMP-P,e8e7d4adac5c136a5e15fc2806c6df24,B-P51_Terminator1_T7_50_RiboA,120,1,UTR1-S,1,[51]
54,LMP-P,4362d6614da2053a11f81e72686b09d3,B-P52_Terminator1_T7_25_RiboA,120,1,UTR1-S,1,[52]
55,LMP-P,39f179ccb35b6cf05448ba186f7a97ec,B-P53_Terminator2_T7_100_RiboB,120,1,UTR1-S,1,[53]
56,LMP-P,527594e1b54b342d84d66f8410b0a65d,B-P54_Terminator2_T7_52_RiboB,120,1,UTR1-S,1,[54]
57,LMP-P,5ea799cf09f81ca093f6f4da74552e19,B-P55_Terminator2_T7_50_RiboB,120,1,UTR1-S,1,[55]
58,LMP-P,12ed8a1648477c13f738878266007b01,B-P56_Terminator2_T7_25_RiboB,120,1,UTR1-S,1,[56]
59,LMP-P,3b4a88794480e918265b485a386e7165,B-P57_Terminator3_T7_100_RiboC,120,1,UTR1-S,1,[57]
60,LMP-P,0716f7ec6f8963162f7a1f1ba43ec3cd,B-P58_Terminator3_T7_52_RiboC,120,1,UTR1-S,1,[58]
61,LMP-P,f5c5d3a7e16aef9a821b12cb66cf3338,B-P59_Terminator3_T7_50_RiboC,120,1,UTR1-S,1,[59]
62,LMP-P,7d164fce32bd2614755922c67cc39edd,B-P60_Terminator3_T7_25_RiboC,120,1,UTR1-S,1,[60]
63,LMP-P,d7862cd6c317036242f4ee7e54226f9b,B-P61_Terminator1_BetI_RiboA,122,1,UTR1-S,1,[61]
64,LMP-P,ccb7702fea535c6b23e52d4df65b64ce,B-P62_Terminator2_Ttg_RiboB,121,1,UTR1-S,1,[62]
65,LMP-P,2efe3b0c9d0a41739866e78d82414a55,B-P63_Terminator3_SaITTC_RiboC,124,1,UTR1-S,1,[63]
