Clip Index,Prefix ID,Part ID,Part Name,Part suggested stock concentration (ng/µL),Part stock per 30 µL clip (µL),Suffix ID,Total assemblies,Assembly indexes
55,LMP-P,B-P53,B-P53_Terminator2_T7_100_RiboB,120,1,UTR1-S,1,[53]
56,LMP-P,B-P54,B-P54_Terminator2_T7_52_RiboB,120,1,UTR1-S,1,[54]
57,LMP-P,B-P55,B-P55_Terminator2_T7_50_RiboB,120,1,UTR1-S,1,[55]
58,LMP-P,B-P56,B-P56_Terminator2_T7_25_RiboB,120,1,UTR1-S,1,[56]
59,LMP-P,B-P57,B-P57_Terminator3_T7_100_RiboC,120,1,UTR1-S,1,[57]
60,LMP-P,B-P58,B-P58_Terminator3_T7_52_RiboC,120,1,UTR1-S,1,[58]
61,LMP-P,B-P59,B-P59_Terminator3_T7_50_RiboC,120,1,UTR1-S,1,[59]
62,LMP-P,B-P60,B-P60_Terminator3_T7_25_RiboC,120,1,UTR1-S,1,[60]
63,LMP-P,B-P61,B-P61_Terminator1_BetI_RiboA,122,1,UTR1-S,1,[61]
64,LMP-P,B-P62,B-P62_Terminator2_Ttg_RiboB,121,1,UTR1-S,1,[62]
65,LMP-P,B-P63,B-P63_Terminator3_SaITTC_RiboC,124,1,UTR1-S,1,[63]
